customer_id,name,email,join_date,total_spent
68,Steve Silva,mcknightkevin@yahoo.com,2024-01-04,7777.12
69,Karen Holmes,kimberly39@gmail.com,2023-01-09,5638.54
70,Barbara Martinez,vincentgrant@bartlett.com,2023-04-27,3565.47
71,Alexis Hudson,timothy65@kim.com,2023-04-28,7035.86
72,Ronald Hall,gibsondenise@graham.info,2023-01-27,413.86
73,Betty Parker,sherry65@yahoo.com,2023-09-20,216.69
74,Rachel Wolf,patricia48@simmons-miles.net,2023-06-17,5820.66
75,Megan Martin,carloswood@gibson.com,2024-05-09,5997.7
76,Benjamin Cook,xbrooks@richard.biz,2024-07-09,6642.51
77,Duane Matthews,danieljohnson@harper.com,2022-12-09,3847.56
78,Elizabeth Rodriguez,jacquelineharris@travis.biz,2024-02-14,4140.97
79,Steven Contreras,zmartinez@hotmail.com,2023-07-25,1851.22
80,Jean Brock,nlynch@gonzalez.org,2022-10-24,7082.86
81,Jeffrey Smith,audreycuevas@washington.com,2023-08-23,9787.4
82,Natasha Nguyen,vfleming@fields.com,2024-07-18,4116.74
83,Adam Cuevas,zjackson@chang-brown.net,2024-06-16,4130.59
84,Chase Weber,matthewschristine@gmail.com,2024-06-26,5332.18
85,Joseph Ramos,abrown@alvarez-cooke.net,2024-07-22,8041.1
86,Jennifer Norton,ojacobson@romero-wilson.com,2022-10-12,7619.21
87,Michael Rodriguez,ubrooks@yahoo.com,2023-04-27,4652.91
88,Bob Davis,austinmary@hall.biz,2023-02-05,7013.16
89,Briana Bates,marycontreras@garcia.org,2022-09-16,6132.79
90,James Sims,david21@fields.org,2023-07-15,8269.78
91,Jennifer Stewart,christopherrobinson@lloyd.com,2024-05-03,5126.7
92,Joseph Griffin,ywise@martin.biz,2024-06-13,7658.35
93,Allison Cole,marshalllouis@paul-hanna.com,2022-09-05,6533.67
94,Alicia Franklin,kathy05@brown-edwards.com,2022-10-02,7739.08
95,Megan Williams,rgriffin@gmail.com,2024-03-29,5597.43
96,Brittney Lee,paige23@yahoo.com,2023-02-26,331.87
97,Donald Watson,lukeross@gmail.com,2023-05-24,8859.92
98,Kathleen Brown,omacias@dean-spencer.info,2023-09-24,9572.43
99,Anthony Rice,herringstephen@smith.com,2023-05-10,9122.81
100,Antonio Gray,glee@yahoo.com,2023-03-06,2458.2
101,Patricia Ward,cheryl10@holmes-keith.com,2024-06-14,4876.18
102,Sharon Montoya,carolyncooley@yahoo.com,2023-05-05,9055.35
103,Adam Stewart,samuel69@gmail.com,2022-09-24,8301.79
104,Russell Garcia,dixonruth@gmail.com,2022-08-20,9622.56
105,Robert Robinson,tammyeverett@hotmail.com,2024-06-04,4290.52
106,Tina Woodward,ekaufman@bernard.org,2023-07-21,7145.2
107,Joshua Burns,fbennett@yahoo.com,2023-05-30,3282.04
108,Jean Hill,caitlin94@hotmail.com,2024-07-20,8566.71
109,Deborah Simpson,calvin23@mack-scott.com,2023-10-18,7547.6
110,Robert Diaz,fisherdana@yahoo.com,2023-12-27,2987.92
111,Darlene Esparza,mliu@thompson.com,2023-08-20,6767.7
112,Rachel Arnold DDS,ocrosby@kelly.biz,2023-10-20,3205.58
113,Elizabeth Castro,yrivera@bradley.biz,2023-12-03,5383.01
114,Michael Torres,gespinoza@collins.com,2023-07-15,1628.85
115,Jack Freeman,heidi17@yahoo.com,2023-09-15,6641.32
116,Bradley Gregory,cindyhaley@hotmail.com,2023-02-23,9203.74
117,Erin Wang,pricealyssa@gmail.com,2023-05-16,7655.05
118,Ashley Burton,kmartin@kirk-alexander.com,2022-08-07,151.9
119,Angel Morse MD,lynn29@gmail.com,2022-11-07,894.83
120,Julie Matthews,kelseynewman@gmail.com,2023-01-06,562.87
121,Monica Arroyo,fmitchell@gmail.com,2024-05-03,4819.9
122,Melissa Rogers,diane95@crawford-owen.com,2022-10-07,8772.24
123,Annette Carter,mhoffman@hotmail.com,2022-10-15,8312.04
124,Anthony Carpenter,kaisermark@hotmail.com,2023-04-27,6945.59
125,Madeline Little,jerry88@stevens.com,2024-03-20,1536.48
126,Christine Freeman,gregorymiller@hotmail.com,2024-06-19,7140.06
127,Shannon Young,rogersjennifer@mcdaniel.info,2023-04-23,1997.48
128,Benjamin Houston,hwarren@wilson-murphy.net,2022-11-10,6648.96
129,Rose Knight,sotochristina@perez-stevens.com,2023-10-31,3396.78
130,Jennifer Martinez,fking@ward-shepard.org,2022-08-06,3266.42
131,Courtney Diaz,hansondavid@hotmail.com,2023-03-05,3312.11
132,Courtney Sims,racheljones@yahoo.com,2023-11-29,2955.49
133,Vanessa Andrews,brownkelli@reynolds.com,2023-07-22,7575.01
134,Kayla Kim,watsonashley@mclean.com,2022-10-07,9421.36
135,Ashley Huerta,rflores@hotmail.com,2022-09-13,7535.03
136,Carmen Lopez,rachel01@gmail.com,2024-03-10,2281.34
137,Cynthia Thomas,sarasims@nunez.com,2023-01-19,5590.89
138,Justin Vega,butlerandrew@yahoo.com,2024-03-20,2743.3
139,William Norton,byrdandrew@hotmail.com,2023-05-18,6529.38
140,Danny Lynch,rodgerskaren@dennis.com,2023-09-30,1168.58
141,Brent Baker,grahammichelle@larsen.biz,2024-01-13,849.57
142,Susan Lawson,ricelaura@hotmail.com,2024-04-20,3635.91
143,Crystal Nelson,pauledwards@gmail.com,2024-04-08,3310.92
144,Xavier Martinez,steven05@bradshaw-bond.com,2022-09-22,3088.49
145,Elijah Lawrence,vanessa48@hotmail.com,2023-01-25,4227.87
146,Julia Wheeler,umckee@boyer.com,2023-03-15,9559.75
147,Teresa Taylor,cainwilliam@lane.com,2023-12-08,8183.18
148,Raymond Cherry,mark42@duncan.com,2023-09-08,4371.4
149,Denise Henderson,tmontgomery@hotmail.com,2024-06-03,6852.05
150,Stephanie Wall,guymercer@hotmail.com,2023-09-11,702.8
151,Blake Hudson,paul14@berry.biz,2023-09-20,9454.21
152,Larry Hernandez,forozco@hotmail.com,2023-11-16,1696.17
153,Matthew Cook,kaylaperez@bonilla.net,2023-12-01,426.79
154,Michael Sharp,waltonrichard@yahoo.com,2023-02-21,8540.74
155,James Carter,hendrixdavid@adams-robertson.net,2022-12-13,4887.68
156,Maurice Jackson,mcintoshlynn@gmail.com,2023-08-09,3869.61
157,Toni Gomez,sbrown@yahoo.com,2024-02-07,7604.55
158,Courtney Logan,ericboyd@yahoo.com,2023-03-02,5335.19
159,Mary Myers,andrewlopez@hotmail.com,2023-09-30,708.78
160,Eric Sims,dmitchell@gmail.com,2024-06-14,6130.04
161,Patrick Sandoval,swilson@clements.org,2024-06-09,5353.04
162,Michael English,leonard39@stevens-davis.com,2024-04-20,5781.54
163,Charles Roach,nelsonbrandon@yahoo.com,2023-05-25,622.37
164,Hector Burns,angela56@yahoo.com,2023-02-28,5553.82
165,Julie Simmons,bbryan@wolf-pena.com,2023-10-22,4327.65
166,Elizabeth Watkins,harrisvalerie@yahoo.com,2022-08-25,2138.27
167,Erica Ramirez,ucontreras@rocha.com,2022-08-30,723.7
168,Mrs. Frances Brown,samuel41@hotmail.com,2023-07-25,1127.63
169,Kristina Dunlap,maysandra@yahoo.com,2023-10-18,6330.39
170,Trevor Hoffman,josefields@scott-cherry.com,2023-06-14,8003.9
171,Jamie Shaw,megan45@martin.com,2024-03-24,6403.62
172,Michael Patton,williamsjames@gmail.com,2023-02-28,5104.51
173,Meghan Fernandez,courtneysimmons@yahoo.com,2024-07-09,4743.39
174,Kara Wilson,jasminecruz@gmail.com,2023-11-05,6450.59
175,Anthony Mitchell,victoria57@gmail.com,2023-02-22,7974.09
176,Gary Gardner,susanharris@hotmail.com,2024-05-29,3092.47
177,Mark Murphy,ryanclark@gmail.com,2024-01-10,9459.69
178,Stacey Jackson,tamara54@hotmail.com,2024-02-16,9211.73
179,William Guzman,tmiller@sullivan.com,2023-01-09,1024.78
180,Adam Lopez,coreydavis@yahoo.com,2023-06-29,7916.04
181,Barbara Clark,alan27@johnson.net,2024-01-02,3445.13
182,Erica Juarez,jonesdonald@yahoo.com,2023-09-18,7539.93
183,Crystal Moore,ericjoseph@yahoo.com,2024-02-16,4868.07
184,Judith Benson,reyespeter@yahoo.com,2023-05-09,390.21
185,Richard Jones,pcampbell@hotmail.com,2023-01-01,6638.09
186,Barbara Miller,gallowaymarie@gmail.com,2024-04-24,9923.4
187,Adriana Fitzgerald,dylan25@baker-gonzalez.com,2024-05-12,5357.4
188,James Nguyen,samuelmills@yahoo.com,2023-05-02,6727.9
189,Philip Franklin,johnsonbrian@gmail.com,2023-11-09,7565.29
190,Ashley Campbell,christiebell@gross-young.biz,2022-12-30,3808.82
191,Michelle Clark,gandrade@yahoo.com,2022-08-04,6606.95
192,Matthew Vazquez,emiller@yahoo.com,2024-04-11,6558.81
193,Heather Pineda,curtisdennis@cordova.com,2022-10-13,1891.14
194,William Martinez,donaldwarren@hotmail.com,2023-08-06,2668.36
195,Jennifer Smith,randygarcia@gmail.com,2023-07-14,7122.66
196,Keith Porter,whitakerjames@salinas-lee.com,2023-08-21,9528.76
197,Travis Washington,umosley@walker-lamb.com,2022-11-03,6265.48
198,Daniel Erickson,brian04@welch.biz,2024-04-21,2076.75
199,Brian Brown,zrichards@gmail.com,2023-03-10,892.3
200,Danny Johnson,robertlee@gmail.com,2024-04-17,8416.58
201,David Hopkins,michelleharris@gmail.com,2024-04-13,5873.3
202,Susan Phillips,vincent52@murphy.org,2023-06-11,6414.11
203,Sandra Stein,mjohnson@hotmail.com,2023-11-17,7694.39
204,Stephanie Perez,ana72@yahoo.com,2022-09-03,568.33
205,Christina Ramos,richard61@kaufman.com,2023-04-10,6843.17
206,Andrea Ross,simpsonaustin@gmail.com,2022-08-27,7319.06
207,Amanda Perez,patricia92@ray.com,2024-05-23,8393.45
208,Jasmine Crawford,fowlerjessica@schultz.net,2023-08-25,5552.22
209,Elizabeth Henderson,frankemma@hotmail.com,2023-09-29,2766.4
210,Brandy Williams,thomasmiller@terry.com,2023-03-20,6553.14
211,Morgan Ortiz,dakota18@yahoo.com,2023-07-15,3498.15
212,Joseph Oliver,raymond13@hotmail.com,2022-11-24,2326.65
213,Kathleen Hensley,samantha39@white-evans.biz,2024-04-25,3072.39
214,Terry Martin,nelsonjason@patterson.com,2022-11-19,3519.48
215,Daniel Gardner,yparks@gmail.com,2024-05-18,4185.02
216,Joy Brown,sally99@rodgers.info,2023-01-26,2690.79
217,Robin Roman,vbanks@hotmail.com,2024-04-14,8122.08
218,Derrick Marshall,alice55@gmail.com,2024-07-16,3960.22
219,Martha Jones,katiemcdonald@yahoo.com,2024-04-27,6615.27
220,Javier Robinson,deannalewis@yahoo.com,2023-10-26,1315.99
221,Laurie Martin,fsanchez@hanson-chen.info,2022-10-13,4460.53
222,Bonnie Taylor,ajones@hall-robinson.com,2022-11-28,4182.57
223,Susan Mercer,smithjessica@hotmail.com,2024-07-16,3300.44
224,Tyler Gibson,zturner@hotmail.com,2022-10-18,1970.76
225,Shane Davis,chadmitchell@hotmail.com,2024-07-10,6200.59
226,Eric Lopez,matthew83@yahoo.com,2023-07-11,7282.51
227,Christina Patterson,david69@evans-hawkins.com,2023-07-12,7834.8
228,Keith Pratt,donaldspencer@miranda.org,2023-09-06,8257.99
229,Derrick Robinson,johnhamilton@manning.com,2022-08-30,5633.4
230,Daniel Bruce,michaelkeith@hotmail.com,2023-10-01,1456.4
231,Leah Rodriguez,slynn@hotmail.com,2022-12-11,8788.44
232,Albert Wilson,joseph26@medina.org,2023-04-09,873.69
233,Kevin Ellis,anthonywilliams@parsons.org,2023-04-20,8659.94
234,John Bates,evalenzuela@hotmail.com,2022-09-02,7234.58
235,Crystal Murray,monica17@gmail.com,2022-08-19,3042.81
236,Gregory Tucker,grimesjulia@gmail.com,2022-09-28,3296.09
237,James Williams,tracycampbell@powers.info,2024-04-25,2696.68
238,Megan Valdez,qgarcia@lindsey-king.com,2023-07-11,7940.36
239,James Pruitt,gonzalezmary@vargas-cowan.com,2023-05-26,292.92
240,Michelle Perez MD,tgraham@brock.org,2023-11-30,8083.48
241,Timothy Campbell,wbrown@hotmail.com,2023-02-05,2049.81
242,John Turner,levinemorgan@rivera.com,2024-03-04,9430.81
243,Angela Shelton,harmonteresa@gonzalez.com,2023-05-24,5076.69
244,Dr. Gabrielle Wilson,fryechristopher@yahoo.com,2023-07-27,3705.74
245,Kimberly Duarte DVM,sierrapennington@leon.biz,2022-08-14,4188.65
246,Jordan Gonzalez,heidi32@garrett.com,2023-08-11,7002.25
247,Mitchell Myers,stephensonrichard@olsen.info,2022-12-12,8467.05
248,Crystal Little,dcoleman@gmail.com,2023-10-04,3736.61
249,Tracy Carter,lmartinez@yahoo.com,2023-10-05,5596.67
250,Phillip Baker,jennifer92@yahoo.com,2024-05-31,9779.78
251,Shari Velez,sosajessica@barnett.info,2023-08-25,2442.82
252,Kimberly Martinez,thompsonkarla@mayer.com,2023-05-14,6249.78
253,Mr. Henry Nguyen,johndavis@gmail.com,2023-11-04,4987.4
254,Amanda Duke,vtran@fletcher.org,2024-05-13,5091.42
255,Kimberly Andrews,hherrera@thomas.com,2023-02-07,449.54
256,Cynthia Foster,jsimon@stevens.net,2024-02-22,2294.71
257,Mrs. Elizabeth Morse,sarah70@hotmail.com,2023-10-20,3064.45
258,Tonya Li,samuel27@yahoo.com,2024-01-30,9336.48
259,Jennifer Daniels,daniel11@hotmail.com,2024-01-28,8717.85
260,Denise Woodward,rodriguezrichard@knight-ortiz.org,2023-11-08,5812.19
261,Bradley Garrison,christian41@hotmail.com,2024-06-04,359.64
262,Sarah Boyer,amy64@yahoo.com,2024-07-23,824.07
263,Ashley Turner,kimberlyromero@floyd-carlson.com,2022-10-17,1706.02
264,Ann Chambers,wreynolds@gmail.com,2024-03-28,7306.77
265,Christopher Graham,tranethan@hotmail.com,2024-06-10,7482.62
266,Laura Harris,joshua13@weiss.com,2023-03-20,1839.12
267,Joshua Moon,tamara97@collier.com,2023-04-06,8869.64
268,Scott Lawson,barbaralyons@gomez.com,2022-09-02,3093.4
269,Angela Coleman,diazcarmen@yahoo.com,2022-09-20,1208.48
270,Christopher Waters,daniellewilson@gmail.com,2023-06-03,3315.47
271,Amy Williams,crystal98@hotmail.com,2023-06-22,3212.7
272,Jonathan Huff,taylorveronica@yahoo.com,2022-07-30,7835.97
273,Michael Carr,vcastro@meza.com,2023-02-03,2545.35
274,Mary Hull,rdouglas@gmail.com,2023-09-15,423.99
275,John Houston,nnorris@brown.com,2023-07-28,8508.27
276,Dr. Jamie Hunt,opowell@friedman.com,2023-09-15,2088.9
277,Mr. Juan Alvarado,sandraroberts@price-leon.info,2023-10-13,1892.46
278,Sharon Watkins,juliebeck@stewart-ferguson.com,2022-09-07,4656.27
279,Christina Hess,jessicahiggins@lindsey-huber.com,2024-05-07,3901.94
280,Samuel Hill,otownsend@yahoo.com,2023-01-06,7616.92
281,Sarah Ingram,richardsrichard@curry-shepherd.com,2023-08-07,6259.95
282,Susan Nelson,analarson@hoffman.com,2023-08-06,5184.22
283,Valerie Noble,mcdonaldelizabeth@martinez-jones.com,2024-06-19,100.31
284,Bradley Allen,pbrown@yahoo.com,2024-05-10,3400.83
285,Catherine Martin,jessica41@simpson-turner.info,2022-10-07,465.94
286,Douglas Harris,briankent@james.com,2024-01-09,9296.14
287,Michael Thompson MD,jessicahanson@jones-spears.net,2023-12-18,9399.46
288,Maria Shields,joycejames@yahoo.com,2023-04-25,7899.11
289,Sara Werner,robertherrera@gmail.com,2023-04-23,1514.31
290,Nicole Dixon,cynthia81@yahoo.com,2023-10-17,9693.12
291,Tyler Espinoza,kristinboyd@yahoo.com,2022-12-03,7645.35
292,Angie Johnson,iochoa@perez.biz,2022-09-27,8323.33
293,Kimberly Li,ybecker@greene.org,2023-03-04,1033.16
294,Mary Flynn,gregorysanchez@boyd-blanchard.info,2023-03-08,2244.5
295,Jacqueline Adkins,michellestewart@schultz.com,2023-04-05,1441.71
296,Shannon Graham,dwalton@williamson.biz,2023-03-16,4236.18
297,Jose Pittman,njames@banks.com,2023-10-13,9603.85
298,William Scott,psullivan@yahoo.com,2022-10-05,6935.66
299,Mitchell Adams,jonesdaniel@hotmail.com,2023-12-01,1127.83
300,Daniel Dillon,brucetorres@yahoo.com,2023-04-30,684.22
301,Jesus Thompson,vwall@owens.com,2023-07-13,3988.12
302,Leah Jefferson MD,jessicahall@wallace-brown.info,2023-06-04,9093.27
303,Alan Smith,victorreynolds@gmail.com,2023-12-09,3149.67
304,Rebecca Jones,pwatson@may.com,2023-08-29,2622.74
305,Douglas Mills,tiffanyroberts@brooks.net,2023-05-22,6675.29
306,Jennifer Rhodes,steeletimothy@hotmail.com,2023-09-24,1710.05
307,Jennifer Callahan,sarah10@arroyo.com,2023-04-21,5892.05
308,Bridget Parker,shannon45@yahoo.com,2023-03-01,5894.09
309,Jesse Richardson,gmartinez@hotmail.com,2024-03-19,479.38
310,Lee Clark,qschaefer@rodriguez-bautista.org,2022-11-07,3905.21
311,Todd Day,barronmichael@woods-welch.com,2023-12-16,9051.79
312,Jodi Green,harpersarah@henry.com,2024-01-13,8080.67
313,Steven Schultz,nunezcameron@gmail.com,2024-06-08,2425.72
314,Terri Forbes,lambertjoshua@smith.com,2024-07-17,5845.5
315,Molly Smith,guerrakevin@perez.info,2022-09-24,875.55
316,Robert Johnson,gregorycarey@myers.biz,2023-06-08,7748.46
317,Joseph Mitchell,moorealexander@yahoo.com,2022-09-04,6148.93
318,Joseph Moore,oburns@patterson-williams.biz,2023-12-21,5306.41
319,Jessica Clark,williamsjohn@cook.com,2023-09-27,2293.72
320,Lindsey Wright,fmartin@gmail.com,2023-11-09,4320.2
321,Lisa Greer,devin26@nelson.info,2024-06-20,3066.97
322,Anthony Young,samanthabailey@king.com,2023-02-13,6293.62
323,Julie Villa,nbrown@vargas.net,2024-03-16,4435.03
324,Suzanne Butler,thompsonjoseph@gmail.com,2022-12-31,2392.19
325,Douglas Soto,underwoodjaime@gmail.com,2024-03-29,330.73
326,Jacob Carson,wsimpson@hotmail.com,2024-07-19,6962.41
327,Brooke Murray DDS,saraconley@yahoo.com,2023-05-27,9174.45
328,Natasha Quinn,ckerr@harris-king.com,2022-08-21,611.69
329,Mary Bridges,jenniferconley@hotmail.com,2024-01-07,9583.9
330,Dennis Conway,laurie19@walker-palmer.com,2022-12-21,805.01
331,Lori Holt,alexander06@allen.com,2023-09-13,8076.95
332,Gary Christian,xmora@smith.org,2023-11-23,4864.62
333,Laura Hartman,oliviacollins@gmail.com,2023-10-04,4764.42
334,Phillip Anthony,christopher83@hotmail.com,2023-07-13,3504.83
335,Kristin Garner,iraymond@gmail.com,2022-09-07,6935.58
336,Shannon Fowler,bcastillo@miller.net,2024-05-20,2727.07
337,Mrs. Vanessa Brown,emilyhaynes@hotmail.com,2023-05-24,154.51
338,Kimberly Smith,bhampton@gmail.com,2023-08-22,309.63
339,Nancy Shelton MD,howellnathan@wright.com,2022-11-09,9008.51
340,James Hernandez,edwardcoleman@yahoo.com,2023-05-06,5095.13
341,Connie Thompson,taylorjose@hotmail.com,2023-07-17,1362.83
342,Jason Johnson,jacksonsabrina@chapman-bullock.com,2024-04-04,937.39
343,Blake Hart,suzanneford@yahoo.com,2022-11-26,679.73
344,Teresa Garcia,henry18@gmail.com,2023-05-12,9157.4
345,Kayla Moore,hwallace@yahoo.com,2024-05-16,2590.47
346,Jonathan Griffin,aspencer@hotmail.com,2023-06-16,8491.63
347,Steven Harris,bernardalyssa@hotmail.com,2024-05-05,1233.36
348,Judy Andrews,washingtonmelody@yahoo.com,2022-09-30,5330.53
349,Linda Prince,ramoswilliam@hotmail.com,2024-02-26,7845.79
350,Larry Fernandez,jamie91@mcknight-gillespie.net,2024-06-26,4504.55
351,Derek Brown,dan78@johnson.org,2022-12-04,2262.94
352,Elizabeth Lopez,rgilbert@harris.net,2023-10-16,3679.29
353,Michael Morgan,zmullins@hotmail.com,2022-09-09,7752.69
354,Michael Adams,scott39@rodriguez-bonilla.biz,2023-01-10,4720.81
355,Jacob Martinez,randallwilliams@hotmail.com,2022-11-07,6655.3
356,April Kelley,michaelward@morris.com,2023-12-18,4005.59
357,Dustin Brown,lwelch@yahoo.com,2024-01-18,1471.71
358,Gina Rivera,ndavila@miller.com,2023-07-01,7417.78
359,Ashley Mcintyre,bgomez@yahoo.com,2023-09-10,5424.99
360,Mrs. Donna Yang,izimmerman@johnson.com,2024-06-21,1323.16
361,Edwin Garcia,jsmith@hotmail.com,2022-08-27,2359.07
362,Brandon Turner,shawn54@stone.org,2022-09-05,5129.21
363,Melissa Taylor,dana61@craig.com,2024-02-18,5922.35
364,Eric Dawson,rebecca45@stewart.com,2023-12-23,1562.66
365,Evelyn Fields,justin52@gmail.com,2023-03-30,8837.63
366,Amy Flores,fryealan@walker-lee.com,2022-11-15,8972.57
367,Kristy Weiss,vferguson@yahoo.com,2023-06-03,9734.13
368,Lisa Pena,kaylee53@gmail.com,2023-01-31,3363.45
369,Corey Carson,edward84@greene-beasley.org,2023-07-19,7217.65
370,Jonathan Leach,danielmercer@jackson.com,2024-04-16,5431.68
371,Christopher Martin,fergusonrobin@wilkins.biz,2024-06-12,3618.25
372,Amber Cruz,smcdonald@rodriguez.com,2024-05-12,6833.2
373,Leslie Schneider,ireyes@weiss-moon.com,2023-12-26,9392.29
374,Angela Smith,michaelward@peterson-day.com,2022-08-20,1195.39
375,Laura Chambers,dannycraig@hotmail.com,2024-05-30,4346.61
376,Scott Waters,steve51@hotmail.com,2023-03-03,9203.42
377,Garrett Lin,phillip93@gmail.com,2022-10-16,2483.82
378,Timothy Brown,millerbilly@kaiser-tran.biz,2022-11-14,6049.16
379,Todd Montgomery,bishopmichael@burnett-mueller.biz,2023-11-07,5675.17
380,Maria Turner,vmartinez@hotmail.com,2023-02-11,4135.15
381,Jessica Nelson,vhuber@hotmail.com,2023-09-18,9199.46
382,Kimberly Smith,anthony18@gmail.com,2023-08-30,1974.7
383,Kenneth Lester,david33@yahoo.com,2023-11-15,9435.99
384,Molly Juarez,andersondavid@gmail.com,2023-02-16,2566.75
385,Latasha Fisher,jaystrickland@yahoo.com,2023-04-22,9938.57
386,Jason Kim,kwaters@richard.com,2024-04-11,3850.08
387,Nicole Walters,sheryl64@farrell.net,2024-04-15,3124.63
388,Maureen Rodriguez,tinawells@steele-bradley.org,2023-06-23,3932.51
389,Juan Townsend,hicksangela@gmail.com,2023-07-10,7355.63
390,Cynthia Smith,xbradley@yahoo.com,2023-02-08,2519.77
391,Daniel Smith,contrerastimothy@gmail.com,2023-03-27,7906.89
392,Dawn Gonzalez,rbradshaw@lutz-griffin.com,2022-09-15,3079.02
393,Billy James,lopezjoseph@gmail.com,2023-12-22,9659.67
394,William Miller,juliehopkins@coleman-durham.com,2022-08-01,5190.14
395,James Davidson,sarahroberson@tucker.com,2023-12-29,9342.95
396,Daniel Smith,jill18@harper-thomas.info,2023-11-04,2683.42
397,Jacqueline Moss,kerri83@hernandez.info,2023-04-19,5493.32
398,Brianna Mitchell,briana98@hotmail.com,2024-03-12,1573.07
